"ssizes" "powerSW" "powerKS" "powerLL" "powerAD" "powerJB" "powerCVM"
"1" 10 0.2411 0.0769 0.1688 0.2209 0.2104 0.2076
"2" 15 0.4047 0.1003 0.2521 0.3532 0.324 0.3203
"3" 20 0.5351 0.1282 0.3254 0.4641 0.4098 0.4195
"4" 25 0.6636 0.1395 0.4069 0.5806 0.5045 0.5225
"5" 30 0.7523 0.161 0.4711 0.6689 0.5707 0.6014
"6" 40 0.8882 0.2096 0.5967 0.806 0.7217 0.7388
"7" 50 0.9483 0.2467 0.6899 0.8866 0.8242 0.8354
"8" 100 0.9998 0.4459 0.9509 0.9967 0.9964 0.991
"9" 200 1 0.8486 0.9999 1 1 1
"10" 300 1 1 1 1 1 1
"11" 400 1 1 1 1 1 1
"12" 500 1 1 1 1 1 1
"13" 1000 1 1 1 1 1 1
"14" 1500 1 1 1 1 1 1
"15" 2000 1 1 1 1 1 1
