"ssizes" "powerSW" "powerKS" "powerLL" "powerAD" "powerDP" "powerJB" "powerCVM" "powerCSQ"
"1" 10 0.0638 0.0767 0.0527 0.0635 0.019 0.0155 0.0572 0.0757
"2" 15 0.0914 0.0892 0.0684 0.0892 0.0374 0.0079 0.0832 0.1146
"3" 20 0.1309 0.086 0.0763 0.1166 0.082 0.0032 0.0977 0.0442
"4" 25 0.1901 0.0947 0.0893 0.1623 0.1542 0.0023 0.134 0.0544
"5" 30 0.2389 0.0968 0.1023 0.1905 0.241 0.0012 0.1539 0.0316
"6" 40 0.3867 0.1138 0.1441 0.2936 0.4393 8e-04 0.2323 0.068
"7" 50 0.544 0.1302 0.1828 0.4004 0.6128 0.0017 0.3026 0.0524
"8" 100 0.9628 0.1891 0.4191 0.8199 0.9773 0.4801 0.661 0.11
"9" 200 1 0.3674 0.8166 0.9968 1 0.9983 0.969 0.2696
"10" 300 1 0.5318 0.9701 1 1 1 0.9991 0.4912
"11" 400 1 0.7033 0.9965 1 1 1 0.9999 0.684
"12" 500 1 0.8098 0.9999 1 1 1 1 0.8501
"13" 1000 1 0.9936 1 1 1 1 1 0.9996
"14" 1500 1 0.9999 1 1 1 1 1 1
"15" 2000 1 1 1 1 1 1 1 1
