"ssizes" "powerSW" "powerKS" "powerLL" "powerAD" "powerDP" "powerJB" "powerCVM" "powerCSQ"
"1" 10 0.0419 0.0688 0.0399 0.0424 0.0194 0.018 0.0414 0.0734
"2" 15 0.0546 0.0737 0.0536 0.0578 0.0216 0.0084 0.0574 0.1197
"3" 20 0.0615 0.0741 0.0523 0.0637 0.0364 0.0032 0.0585 0.0372
"4" 25 0.0786 0.0732 0.0579 0.0809 0.0676 0.0026 0.0737 0.0408
"5" 30 0.0952 0.0804 0.0681 0.094 0.0993 0.0016 0.0861 0.0318
"6" 40 0.1461 0.0858 0.0859 0.133 0.1911 2e-04 0.116 0.0436
"7" 50 0.2116 0.095 0.1021 0.1756 0.2933 1e-04 0.1459 0.0381
"8" 100 0.6022 0.1211 0.1953 0.4154 0.7681 0.0901 0.3193 0.0485
"9" 200 0.9787 0.1971 0.4392 0.8421 0.9925 0.8424 0.6904 0.08
"10" 300 0.9997 0.2797 0.6771 0.9785 0.9998 0.995 0.9028 0.1275
"11" 400 1 0.3728 0.8393 0.9976 1 1 0.9749 0.1952
"12" 500 1 0.4674 0.9365 0.9997 1 1 0.9955 0.2909
"13" 1000 1 0.8215 1 1 1 1 1 0.7863
"14" 1500 1 0.9647 1 1 1 1 1 0.9796
"15" 2000 1 0.9953 1 1 1 1 1 0.9995
