"ssizes" "powerSW" "powerKS" "powerLL" "powerAD" "powerDP" "powerJB" "powerCVM" "powerCSQ"
"1" 10 0.0387 0.0547 0.0424 0.0393 0.0271 0.0277 0.0405 0.0859
"2" 15 0.0395 0.0571 0.0438 0.0422 0.023 0.0209 0.0431 0.1062
"3" 20 0.0343 0.0538 0.0408 0.0381 0.0219 0.0155 0.0406 0.0389
"4" 25 0.0414 0.0549 0.0495 0.0494 0.0252 0.0124 0.0515 0.0487
"5" 30 0.038 0.0549 0.0426 0.0419 0.0273 0.0114 0.0439 0.0313
"6" 40 0.0366 0.0602 0.0487 0.0472 0.0328 0.0061 0.0488 0.0404
"7" 50 0.042 0.0564 0.0489 0.0502 0.0378 0.0048 0.049 0.0386
"8" 100 0.0568 0.0599 0.0538 0.0629 0.0855 0.0036 0.0599 0.0366
"9" 200 0.1257 0.0704 0.0795 0.1128 0.2173 0.0287 0.0991 0.0343
"10" 300 0.2164 0.0784 0.0982 0.1584 0.358 0.1013 0.1337 0.0322
"11" 400 0.3186 0.0876 0.1198 0.2211 0.5084 0.2153 0.1753 0.0355
"12" 500 0.4439 0.0983 0.1564 0.3013 0.644 0.3714 0.2454 0.0376
"13" 1000 0.882 0.1427 0.3087 0.6441 0.9586 0.8938 0.5168 0.0571
"14" 1500 0.9871 0.1986 0.4797 0.8488 0.9973 0.9904 0.7217 0.0867
"15" 2000 0.9994 0.2502 0.6465 0.9537 0.9997 0.9994 0.8753 0.1296
