"ssizes" "powerSW" "powerKS" "powerLL" "powerAD" "powerDP" "powerJB" "powerCVM" "powerCSQ"
"1" 10 0.1223 0.0381 0.1008 0.1178 0.1458 0.1457 0.1164 0.1657
"2" 15 0.1641 0.042 0.127 0.153 0.1963 0.2018 0.1449 0.1975
"3" 20 0.202 0.0484 0.1411 0.187 0.2418 0.2521 0.1742 0.155
"4" 25 0.2401 0.0481 0.1655 0.2237 0.2746 0.2976 0.2046 0.1807
"5" 30 0.2733 0.0541 0.185 0.2493 0.3086 0.3318 0.2284 0.1726
"6" 40 0.3503 0.0633 0.2235 0.3144 0.3773 0.4176 0.2877 0.2452
"7" 50 0.399 0.0775 0.2508 0.3559 0.4204 0.4729 0.3229 0.2634
"8" 100 0.6341 0.1225 0.411 0.5707 0.6351 0.7038 0.5244 0.4009
"9" 200 0.8753 0.2465 0.666 0.8357 0.8706 0.9128 0.7978 0.6089
"10" 300 0.9629 0.4072 0.8268 0.9414 0.9573 0.9744 0.9211 0.7585
"11" 400 0.9901 0.544 0.9237 0.9846 0.989 0.9947 0.9762 0.8674
"12" 500 0.9976 0.6805 0.9662 0.9953 0.9963 0.9981 0.9922 0.9266
"13" 1000 1 0.9653 0.9995 1 1 1 1 0.9983
"14" 1500 1 0.9982 1 1 1 1 1 1
"15" 2000 1 1 1 1 1 1 1 1
