"ssizes" "powerSW" "powerKS" "powerLL" "powerAD" "powerDP" "powerJB" "powerCVM" "powerCSQ"
"1" 10 0.1493 0.0363 0.1297 0.1523 0.1792 0.1787 0.1498 0.1923
"2" 15 0.21 0.0477 0.1634 0.2053 0.2448 0.248 0.1924 0.2341
"3" 20 0.2519 0.0499 0.1834 0.2443 0.2916 0.3056 0.2248 0.1936
"4" 25 0.3041 0.063 0.2202 0.2921 0.3395 0.3655 0.2716 0.2372
"5" 30 0.3597 0.0644 0.2489 0.336 0.3865 0.4191 0.3077 0.2322
"6" 40 0.4261 0.0817 0.2906 0.3971 0.4542 0.4961 0.3692 0.3096
"7" 50 0.5047 0.0968 0.3488 0.4665 0.5196 0.5747 0.4302 0.3552
"8" 100 0.7598 0.2012 0.5602 0.7182 0.7535 0.8097 0.6821 0.5395
"9" 200 0.9524 0.4437 0.8338 0.9377 0.9434 0.9657 0.9194 0.7848
"10" 300 0.9915 0.6592 0.9478 0.9888 0.9897 0.9942 0.9825 0.9117
"11" 400 0.9987 0.8267 0.9841 0.9983 0.9984 0.9991 0.9966 0.9675
"12" 500 0.9997 0.9246 0.9967 0.9998 0.9997 0.9999 0.9997 0.9887
"13" 1000 1 0.9993 1 1 1 1 1 1
"14" 1500 1 1 1 1 1 1 1 1
"15" 2000 1 1 1 1 1 1 1 1
