"ssizes" "powerSW" "powerKS" "powerLL" "powerAD" "powerDP" "powerJB" "powerCVM" "powerCSQ"
"1" 10 0.1129 0.0595 0.0924 0.1091 0.1309 0.1325 0.1013 0.1407
"2" 15 0.1554 0.0598 0.1099 0.1423 0.1834 0.1845 0.1306 0.1815
"3" 20 0.1955 0.0567 0.1249 0.17 0.2235 0.2266 0.1463 0.1257
"4" 25 0.2309 0.0593 0.1385 0.1912 0.2589 0.2682 0.169 0.146
"5" 30 0.2607 0.0583 0.1545 0.2154 0.2939 0.3066 0.1882 0.1447
"6" 40 0.3238 0.0645 0.1682 0.2497 0.3611 0.376 0.2135 0.1963
"7" 50 0.3807 0.066 0.1947 0.2887 0.4165 0.4369 0.245 0.2178
"8" 100 0.5846 0.072 0.2752 0.4191 0.6221 0.651 0.3524 0.3243
"9" 200 0.8117 0.0916 0.4052 0.6132 0.8377 0.8574 0.5268 0.4963
"10" 300 0.9142 0.1087 0.5215 0.7496 0.9294 0.9437 0.6578 0.6148
"11" 400 0.964 0.1352 0.6283 0.8477 0.9735 0.9783 0.7639 0.7158
"12" 500 0.9798 0.16 0.7083 0.9047 0.9853 0.9889 0.833 0.7842
"13" 1000 0.9998 0.3082 0.9379 0.9946 0.9999 1 0.9843 0.9563
"14" 1500 1 0.5205 0.989 0.9994 1 1 0.9976 0.99
"15" 2000 1 0.6824 0.998 1 1 1 0.9999 0.9983
