"ssizes" "powerSW" "powerKS" "powerLL" "powerAD" "powerDP" "powerJB" "powerCVM" "powerCSQ"
"1" 10 0.1316 0.0833 0.0966 0.1222 0.0602 0.0639 0.1138 0.1196
"2" 15 0.2059 0.0915 0.1365 0.1842 0.0736 0.0688 0.1704 0.1377
"3" 20 0.3003 0.1016 0.1729 0.2597 0.0926 0.0691 0.2265 0.0491
"4" 25 0.4154 0.119 0.2221 0.351 0.1215 0.0881 0.3008 0.0586
"5" 30 0.5078 0.1238 0.2595 0.4172 0.1381 0.0888 0.3519 0.0509
"6" 40 0.7082 0.1571 0.3722 0.5948 0.2168 0.136 0.5038 0.0758
"7" 50 0.8417 0.1774 0.4563 0.7193 0.295 0.2035 0.6085 0.0712
"8" 100 0.9987 0.3077 0.8194 0.9824 0.9072 0.8512 0.9399 0.1722
"9" 200 1 0.5484 0.9954 1 0.9999 0.9999 0.9997 0.5402
"10" 300 1 1 0.9999 1 1 1 1 0.8632
"11" 400 1 1 1 1 1 1 1 0.9822
"12" 500 1 1 1 1 1 1 1 0.9988
"13" 1000 1 1 1 1 1 1 1 1
"14" 1500 1 1 1 1 1 1 1 1
"15" 2000 1 1 1 1 1 1 1 1
