"ssizes" "powerSW" "powerKS" "powerLL" "powerAD" "powerDP" "powerJB" "powerCVM" "powerCSQ"
"1" 10 0.241 0.0844 0.1663 0.2224 0.1974 0.2085 0.2054 0.1936
"2" 15 0.3886 0.1068 0.2489 0.3431 0.2926 0.3142 0.3107 0.178
"3" 20 0.5225 0.1164 0.3106 0.4584 0.3688 0.3957 0.412 0.1128
"4" 25 0.6541 0.1393 0.3948 0.5724 0.4571 0.4944 0.515 0.1646
"5" 30 0.7489 0.1613 0.4654 0.6561 0.533 0.5771 0.5937 0.1652
"6" 40 0.8815 0.2064 0.5955 0.8046 0.6709 0.7205 0.744 0.2603
"7" 50 0.9493 0.2366 0.7031 0.8943 0.7787 0.8321 0.8379 0.3581
"8" 100 0.9997 0.4367 0.9501 0.9966 0.9913 0.9945 0.9886 0.7445
"9" 200 1 0.8424 0.9995 1 1 1 1 0.9925
"10" 300 1 1 1 1 1 1 1 0.9999
"11" 400 1 1 1 1 1 1 1 1
"12" 500 1 1 1 1 1 1 1 1
"13" 1000 1 1 1 1 1 1 1 1
"14" 1500 1 1 1 1 1 1 1 1
"15" 2000 1 1 1 1 1 1 1 1
