"ssizes" "powerSW" "powerKS" "powerLL" "powerAD" "powerDP" "powerJB" "powerCVM" "powerCSQ"
"1" 10 0.0969 0.0916 0.0684 0.091 0.0213 0.015 0.0842 0.0835
"2" 15 0.1492 0.0984 0.0847 0.1362 0.0641 0.0052 0.1153 0.1073
"3" 20 0.2407 0.1085 0.1106 0.2023 0.1571 0.0026 0.162 0.0668
"4" 25 0.3555 0.1143 0.1339 0.2825 0.2838 0.0015 0.2186 0.0703
"5" 30 0.4529 0.1297 0.166 0.3468 0.4148 9e-04 0.2677 0.0351
"6" 40 0.6653 0.1498 0.225 0.5085 0.6712 0.0011 0.3883 0.0837
"7" 50 0.8332 0.1713 0.3093 0.6616 0.8338 0.0153 0.5123 0.1074
"8" 100 0.9993 0.2854 0.6577 0.9769 0.9989 0.8442 0.9013 0.2548
"9" 200 1 0.5625 0.9748 1 1 1 0.9991 0.6164
"10" 300 1 0.7778 0.9993 1 1 1 1 0.8844
"11" 400 1 0.909 1 1 1 1 1 0.9807
"12" 500 1 0.9644 1 1 1 1 1 0.9976
"13" 1000 1 1 1 1 1 1 1 1
"14" 1500 1 1 1 1 1 1 1 1
"15" 2000 1 1 1 1 1 1 1 1
