"ssizes" "powerSW" "powerKS" "powerLL" "powerAD" "powerDP" "powerJB" "powerCVM" "powerCSQ"
"1" 10 0.0367 0.0449 0.0402 0.0386 0.0262 0.0253 0.039 0.0856
"2" 15 0.0318 0.0476 0.043 0.0377 0.0148 0.0126 0.0396 0.1123
"3" 20 0.0325 0.0458 0.038 0.0386 0.016 0.0071 0.0394 0.0319
"4" 25 0.035 0.0438 0.0438 0.0405 0.0193 0.0042 0.041 0.0394
"5" 30 0.0352 0.0479 0.0454 0.043 0.0237 0.0026 0.0467 0.0307
"6" 40 0.044 0.046 0.0479 0.0497 0.0415 9e-04 0.0487 0.0312
"7" 50 0.0505 0.0503 0.0455 0.0526 0.0583 9e-04 0.0513 0.0291
"8" 100 0.1208 0.0487 0.0569 0.0853 0.1988 0.004 0.0698 0.0196
"9" 200 0.4419 0.0526 0.0888 0.1941 0.5675 0.1173 0.1362 0.0204
"10" 300 0.7904 0.0615 0.1234 0.3186 0.8152 0.427 0.2041 0.0204
"11" 400 0.9544 0.0708 0.1727 0.4885 0.9424 0.7311 0.3061 0.0219
"12" 500 0.9958 0.0703 0.2229 0.6412 0.986 0.9146 0.4068 0.0211
"13" 1000 1 0.1242 0.5103 0.9819 1 0.9999 0.8121 0.0317
"14" 1500 1 0.2167 0.7692 0.9999 1 1 0.962 0.0504
"15" 2000 1 0.3505 0.9096 1 1 1 0.9972 0.09
