"ssizes" "powerSW" "powerLL" "powerKS" "powerAD" "powerJB" "powerCVM"
"1" 10 0.0778 0.0596 0.0812 0.0749 0.0154 0.0702
"2" 15 0.1239 0.0805 0.0938 0.1122 0.0063 0.0987
"3" 20 0.1991 0.0949 0.1069 0.1689 0.0023 0.1406
"4" 25 0.2805 0.1236 0.1041 0.2292 0.0017 0.1823
"5" 30 0.3858 0.1454 0.1162 0.3033 0.0015 0.2313
"6" 40 0.5912 0.2029 0.1409 0.4462 0.0014 0.3336
"7" 50 0.7514 0.2573 0.1535 0.5712 0.0088 0.433
"8" 100 0.9975 0.5916 0.2574 0.9505 0.7731 0.8399
"9" 200 1 0.9442 0.4883 1 0.9999 0.9973
"10" 300 1 0.9978 0.7088 1 1 1
"11" 400 1 0.9999 0.857 1 1 1
"12" 500 1 1 0.9318 1 1 1
"13" 1000 1 1 0.9998 1 1 1
"14" 1500 1 1 1 1 1 1
"15" 2000 1 1 1 1 1 1
