"ssizes" "powerSW" "powerKS" "powerLL" "powerAD" "powerDP" "powerJB" "powerCVM" "powerCSQ"
"1" 10 0.153 0.0411 0.1401 0.1627 0.1809 0.1807 0.1598 0.2212
"2" 15 0.2001 0.0549 0.1762 0.2061 0.2282 0.2363 0.2055 0.2502
"3" 20 0.259 0.0583 0.2201 0.2686 0.2761 0.2945 0.2622 0.2285
"4" 25 0.317 0.0705 0.2637 0.3313 0.326 0.358 0.3209 0.2699
"5" 30 0.3507 0.0847 0.2933 0.3639 0.3556 0.3938 0.3604 0.2678
"6" 40 0.4471 0.1059 0.3661 0.4688 0.433 0.4874 0.4625 0.3708
"7" 50 0.5235 0.1282 0.4344 0.546 0.4907 0.5553 0.5389 0.4244
"8" 100 0.7979 0.2673 0.7042 0.8223 0.7281 0.8044 0.8211 0.6622
"9" 200 0.9738 0.5765 0.9421 0.9836 0.9377 0.9655 0.9831 0.9127
"10" 300 0.998 0.7916 0.9914 0.9992 0.9886 0.9957 0.9991 0.9789
"11" 400 1 0.9157 0.9993 0.9999 0.9982 0.9995 0.9999 0.9966
"12" 500 1 0.9747 0.9999 1 0.9997 0.9999 1 0.9993
"13" 1000 1 1 1 1 1 1 1 1
"14" 1500 1 1 1 1 1 1 1 1
"15" 2000 1 1 1 1 1 1 1 1
