"ssizes" "powerSW" "powerKS" "powerLL" "powerAD" "powerDP" "powerJB" "powerCVM" "powerCSQ"
"1" 10 0.0816 0.0446 0.0673 0.078 0.098 0.0981 0.0743 0.1278
"2" 15 0.0988 0.0436 0.0792 0.0945 0.1194 0.1217 0.0927 0.1465
"3" 20 0.1195 0.0424 0.087 0.1101 0.1462 0.1543 0.1 0.0937
"4" 25 0.1347 0.047 0.0887 0.1196 0.1582 0.1751 0.109 0.1021
"5" 30 0.1409 0.0492 0.0906 0.1195 0.1692 0.1848 0.1084 0.0872
"6" 40 0.1784 0.0509 0.1092 0.1493 0.2066 0.2315 0.1336 0.1211
"7" 50 0.2009 0.0504 0.118 0.1608 0.2273 0.2615 0.1408 0.1258
"8" 100 0.3132 0.0589 0.1578 0.2402 0.3421 0.4014 0.2119 0.1608
"9" 200 0.4945 0.0883 0.2495 0.3928 0.5165 0.5916 0.347 0.2311
"10" 300 0.639 0.1087 0.3301 0.5316 0.6551 0.7268 0.4737 0.2922
"11" 400 0.7498 0.1497 0.4328 0.6559 0.7659 0.8269 0.5914 0.3689
"12" 500 0.8281 0.1746 0.5063 0.7459 0.84 0.888 0.685 0.4187
"13" 1000 0.9841 0.3689 0.8401 0.9686 0.9865 0.9907 0.9474 0.719
"14" 1500 0.9989 0.5567 0.9559 0.9967 0.9993 0.9996 0.9923 0.8645
"15" 2000 0.9998 0.7158 0.9917 0.9997 0.9996 0.9997 0.9991 0.9457
