"ssizes" "powerSW" "powerKS" "powerLL" "powerAD" "powerDP" "powerJB" "powerCVM" "powerCSQ"
"1" 10 0.0627 0.0504 0.0598 0.0624 0.073 0.0715 0.0626 0.1177
"2" 15 0.0656 0.0452 0.0571 0.0609 0.078 0.0799 0.0613 0.1285
"3" 20 0.0781 0.0475 0.0626 0.0722 0.0891 0.0918 0.0688 0.066
"4" 25 0.0796 0.0417 0.0618 0.0698 0.0956 0.102 0.065 0.0764
"5" 30 0.0869 0.0426 0.0613 0.0704 0.1039 0.1136 0.0666 0.0594
"6" 40 0.1027 0.0474 0.0701 0.0836 0.1191 0.1315 0.0782 0.0731
"7" 50 0.1114 0.0489 0.0732 0.0855 0.1254 0.1416 0.0787 0.0818
"8" 100 0.1444 0.0472 0.0766 0.0973 0.169 0.1968 0.0863 0.0919
"9" 200 0.2014 0.0515 0.0876 0.1278 0.2383 0.2866 0.1121 0.1054
"10" 300 0.2624 0.0601 0.1043 0.1634 0.2989 0.3518 0.1382 0.1235
"11" 400 0.3167 0.0618 0.1145 0.1918 0.3602 0.4214 0.1601 0.1328
"12" 500 0.3773 0.0642 0.1388 0.234 0.4179 0.4824 0.1959 0.141
"13" 1000 0.5962 0.0877 0.223 0.407 0.661 0.7118 0.3446 0.2153
"14" 1500 0.7515 0.1201 0.3065 0.5518 0.8067 0.8404 0.4648 0.2663
"15" 2000 0.8668 0.1464 0.4148 0.6942 0.9042 0.925 0.6019 0.3415
