"ssizes" "powerSW" "powerKS" "powerLL" "powerAD" "powerDP" "powerJB" "powerCVM" "powerCSQ"
"1" 10 0.1352 0.2343 0.1155 0.1349 0.1106 0.1175 0.133 0.1709
"2" 15 0.1908 0.3198 0.1625 0.1963 0.1265 0.1377 0.1925 0.1473
"3" 20 0.2424 0.4081 0.199 0.2517 0.1341 0.1467 0.2404 0.0803
"4" 25 0.3327 0.4925 0.2752 0.3431 0.1711 0.1953 0.3297 0.1274
"5" 30 0.3864 0.5702 0.3187 0.3995 0.1879 0.2126 0.388 0.1164
"6" 40 0.5002 0.7255 0.4258 0.5278 0.2366 0.281 0.5079 0.1829
"7" 50 0.6231 0.8327 0.5195 0.6518 0.2928 0.3602 0.6279 0.2421
"8" 100 0.9221 0.9951 0.8401 0.9338 0.6954 0.7542 0.9197 0.5408
"9" 200 0.9989 1 0.9916 0.9993 0.9843 0.9884 0.9988 0.9119
"10" 300 1 1 0.9998 1 0.9996 0.9997 1 0.9914
"11" 400 1 1 1 1 1 1 1 0.9992
"12" 500 1 1 1 1 1 1 1 1
"13" 1000 1 1 1 1 1 1 1 1
"14" 1500 1 1 1 1 1 1 1 1
"15" 2000 1 1 1 1 1 1 1 1
