"ssizes" "powerSW" "powerKS" "powerLL" "powerAD" "powerJB" "powerCVM"
"1" 10 0.6109 0.1634 0.4641 0.5813 0.5013 0.5598
"2" 15 0.8262 0.2742 0.6509 0.7913 0.7022 0.7602
"3" 20 0.9323 0.3716 0.791 0.9043 0.8249 0.8783
"4" 25 0.9752 0.5048 0.8817 0.9633 0.9032 0.9464
"5" 30 0.9932 0.8221 0.9363 0.9863 0.9545 0.975
"6" 40 0.9994 1 0.981 0.9979 0.9887 0.996
"7" 50 0.9999 1 0.9949 0.9997 0.9971 0.999
"8" 100 1 1 1 1 1 1
"9" 200 1 1 1 1 1 1
"10" 300 1 1 1 1 1 1
"11" 400 1 1 1 1 1 1
"12" 500 1 1 1 1 1 1
"13" 1000 1 1 1 1 1 1
"14" 1500 1 1 1 1 1 1
"15" 2000 1 1 1 1 1 1
