"ssizes" "powerSW" "powerKS" "powerLL" "powerAD" "powerDP" "powerJB" "powerCVM" "powerCSQ"
"1" 10 0.609 0.1733 0.4582 0.5815 0.4655 0.5035 0.557 0.4321
"2" 15 0.8147 0.2721 0.6451 0.7756 0.6528 0.6881 0.747 0.4178
"3" 20 0.9324 0.367 0.7899 0.9099 0.7901 0.8257 0.8832 0.4139
"4" 25 0.9771 0.4822 0.8753 0.9597 0.868 0.9013 0.9419 0.5716
"5" 30 0.9922 0.7808 0.9286 0.9839 0.9334 0.9503 0.9731 0.6755
"6" 40 0.9988 1 0.9802 0.9968 0.978 0.9872 0.9943 0.8411
"7" 50 0.9999 1 0.9958 0.9995 0.9959 0.9985 0.9994 0.9396
"8" 100 1 1 1 1 1 1 1 0.9997
"9" 200 1 1 1 1 1 1 1 1
"10" 300 1 1 1 1 1 1 1 1
"11" 400 1 1 1 1 1 1 1 1
"12" 500 1 1 1 1 1 1 1 1
"13" 1000 1 1 1 1 1 1 1 1
"14" 1500 1 1 1 1 1 1 1 1
"15" 2000 1 1 1 1 1 1 1 1
