"ssizes" "powerSW" "powerKS" "powerLL" "powerAD" "powerDP" "powerJB" "powerCVM" "powerCSQ"
"1" 10 0.0466 0.0517 0.0485 0.0462 0.0387 0.0405 0.0468 0.0904
"2" 15 0.0444 0.0519 0.0474 0.0469 0.0367 0.0357 0.0484 0.107
"3" 20 0.0489 0.0569 0.0484 0.0502 0.0398 0.0352 0.0499 0.0434
"4" 25 0.0488 0.051 0.048 0.0481 0.0385 0.0319 0.0521 0.045
"5" 30 0.0464 0.0568 0.0469 0.0484 0.037 0.0287 0.0471 0.037
"6" 40 0.0508 0.0561 0.0558 0.0496 0.0474 0.0321 0.0512 0.0442
"7" 50 0.0597 0.0587 0.0573 0.0579 0.0512 0.033 0.0558 0.0416
"8" 100 0.0858 0.0606 0.0653 0.0733 0.0767 0.0361 0.0692 0.0369
"9" 200 0.1617 0.0693 0.0906 0.118 0.144 0.0671 0.1019 0.0407
"10" 300 0.269 0.0808 0.1174 0.1666 0.231 0.1392 0.1391 0.0444
"11" 400 0.3834 0.0856 0.1404 0.2167 0.3314 0.2297 0.17 0.0451
"12" 500 0.5223 0.0909 0.1771 0.2873 0.4517 0.3521 0.2212 0.0539
"13" 1000 0.9298 0.132 0.3361 0.6047 0.8676 0.8294 0.4561 0.0825
"14" 1500 0.995 0.17 0.5096 0.8175 0.98 0.9729 0.6542 0.1212
"15" 2000 1 0.2204 0.6594 0.9386 0.9981 0.9977 0.8181 0.1893
