"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9"
"1" 10 0.1057 0.0898 0.0733 0.0951 0.0241 0.02 0.0871 1e-04
"2" 15 0.1642 0.1004 0.0918 0.1397 0.0707 0.0077 0.121 0.0092
"3" 20 0.2483 0.1137 0.1137 0.2054 0.1607 0.0025 0.1639 0.0185
"4" 30 0.4585 0.1342 0.1687 0.3591 0.4238 0.001 0.2738 0.0364
"5" 50 0.8241 0.1768 0.3015 0.6652 0.8414 0.0227 0.5162 0.1435
"6" 100 0.9993 0.2914 0.6681 0.979 0.9982 0.8254 0.901 0.8136
"7" 300 1 0.7771 0.9993 1 1 1 1 1
"8" 500 1 0.9624 1 1 1 1 1 1
"9" 1000 1 1 1 1 1 1 1 1
"10" 2000 1 1 1 1 1 1 1 1
