"ssizes" "powerSW" "powerKS" "powerLL" "powerAD" "powerDP" "powerJB" "powerCVM"
"1" 10 0.0829 0.0864 0.0644 0.0773 0.0204 0.0164 0.0694
"2" 15 0.1319 0.0937 0.0788 0.1172 0.0582 0.0066 0.1016
"3" 20 0.1959 0.1028 0.0994 0.1699 0.1283 0.002 0.1415
"4" 25 0.2851 0.1148 0.1244 0.2367 0.2409 0.0015 0.1918
"5" 30 0.3816 0.1238 0.1526 0.3029 0.3636 9e-04 0.2355
"6" 40 0.5886 0.1353 0.2091 0.4516 0.6046 0.001 0.3453
"7" 50 0.7469 0.1502 0.2585 0.5749 0.7807 0.0081 0.4412
"8" 100 0.9959 0.2663 0.5958 0.9506 0.9965 0.7637 0.8463
"9" 200 1 0.5013 0.9449 0.9998 1 0.9999 0.9977
"10" 300 1 0.6986 0.998 1 1 1 1
"11" 400 1 0.852 0.9999 1 1 1 1
"12" 500 1 0.9352 1 1 1 1 1
"13" 1000 1 0.9996 1 1 1 1 1
"14" 1500 1 1 1 1 1 1 1
"15" 2000 1 1 1 1 1 1 1
