"ssizes" "powerSW" "powerKS" "powerLL" "powerAD" "powerDP" "powerJB" "powerCVM"
"1" 10 0.0743 0.0869 0.0608 0.0711 0.0195 0.0162 0.066
"2" 15 0.1394 0.0949 0.0813 0.1271 0.0564 0.0064 0.1134
"3" 20 0.1973 0.1016 0.0965 0.1693 0.1334 0.0021 0.141
"4" 25 0.2688 0.1018 0.1097 0.2222 0.2296 0.0012 0.1704
"5" 30 0.3879 0.1297 0.1524 0.3029 0.3631 0.0014 0.2385
"6" 40 0.5762 0.1316 0.2028 0.4408 0.6018 9e-04 0.3383
"7" 50 0.7474 0.1521 0.2536 0.5693 0.7775 0.0071 0.4328
"8" 100 0.9966 0.2672 0.5939 0.9534 0.9963 0.7656 0.8497
"9" 200 1 0.4927 0.9436 1 1 1 0.9977
"10" 300 1 0.7036 0.9974 1 1 1 1
"11" 400 1 0.8562 1 1 1 1 1
"12" 500 1 0.9371 1 1 1 1 1
"13" 1000 1 1 1 1 1 1 1
"14" 1500 1 1 1 1 1 1 1
"15" 2000 1 1 1 1 1 1 1
